<p>a                             一个
nonconforming                    非连续的
nonconformism                    非建设性的
nonconformist                    非传染性
nonconformity                    不连续的
nonconsecutive                   不贡献
nonconstructive                  无需缴费
noncontagious                    无争议的
noncontinuous                    不可兑换
noncontributing                  不合作
noncontributory                  不腐蚀
noncontroversial                 无腐蚀
nonconvertible                   非学分
noncooperation                   非犯罪
noncorroding                     非批判性
noncorrosive                     非晶态
noncredit                        非累积性
noncriminal                      非监护
noncritical                      非乳制品
noncrystalline                   不可扣除
noncumulative                    未送达
noncustodial                     非民主的
nondairy                         非宗派的
nondeductible                    非部门
nondelivery                      非贬值的
nondemocratic                    不伦不类
nondenominational                非破坏性
nondepartmental                  不可拆卸
nondepreciating                  不确定性
nondescript                      不确定性
nondestructive                   非学科
nondetachable                    保密
nondeterminism                   非歧视
nondeterministic                 非歧视性
nondisciplinary                  非戏剧性的
nondisclosure                    不喝酒的人
nondiscrimination                不干燥
nondiscriminatory                没有任何
nondramatic                      非教育性
nondrinker                       无效
nondrying                        非弹性
none                             非电动
noneducational                   非电气的
noneffective                     非空
nonelastic                       不可执行
nonelectric                      无足轻重
nonelectrical                    非等价的
nonempty                         非必要的
nonenforceable                   绝无仅有
nonentity                        尽管如此
nonequivalent                    无事件
nonessential                     不可兑换
nonesuch                         非排他性
nonetheless                      非豁免
nonevent                         不存在
nonexchangeable                  不存在
nonexclusive                     非爆炸性
nonexempt                        非事实
nonexistence                     不褪色
nonexistent                      脱脂
nonexplosive                     非致命的
nonfactual                       非育肥
nonfading                        有色金属
nonfat                           非小说
nonfatal                         非虚构
nonfattening                     不易燃
nonferrous                       不开花
nonfiction                       非波动的
nonfictional                     非飞行
nonflammable                     非食品
nonflowering                     不冻结
nonfluctuating                   无功能
nonflying                        民间
nonfood                          非颗粒状
nonfreezing                      无害
nonfunctional                    非遗传性
nongovernmental                  非人类
nongranular                      不完全相同
nonhazardous                     非包容性
nonhereditary                    非独立
nonhuman                         非工业
nonidentical                     非感染性
noninclusive                     非炎症性
nonindependent                   非通货膨胀
nonindustrial                    无屈折
noninfectious                    非智力
noninflammatory                  不可互换
noninflationary                  不干涉
noninflected                     不干涉
nonintellectual                  不醉人
noninterchangeable               非侵入性
noninterference                  无刺激性
nonintervention                  非问题
nonintoxicating                  不带任何评判
noninvasive                      非司法的
nonirritating                    非法律的
nonissue                         非致命的
nonjudgmental                    非线性
nonjudicial                      非文学的
nonlegal                         非生命
nonlethal                        非磁性
nonlinear                        非恶性
nonliterary                      非会员
nonliving                        非金属
nonmagnetic                      非金属
nonmalignant                     非迁徙性
nonmember                        非好战分子
nonmetal                         非军事
nonmetallic                      非麻醉性
nonmigratory                     非本地人
nonmilitant                      不容商榷
nonmilitary                      非核
nonnarcotic                      非数值的
nonnative                        非客观的
nonnegotiable                    非义务的
nonnuclear                       不遵守
nonnumerical                     不善观察
nonobjective                     非职业
nonobligatory                    未发生
nonobservance                    非官方的
nonobservant                     非运营
nonoccupational                  非手术
nonoccurence                     非平行
nonofficial                      无比
nonoperational                   非参与者
nonoperative                     不参与
nonparallel                      无党派人士
nonpareil                        不付款
nonparticipant                   不付款
nonparticipating                 不履行
nonpartisan                      表现不佳
nonpaying                        不易腐烂
nonpayment                       非人
nonperformance                   非物质的
nonperforming                    困惑
nonperishable                    不知所措
nonperson                        困惑
nonphysical                      无毒
nonplus                          非政治性的
nonplussed                       无污染
nonplussing                      无孔
nonpoisonous                     非执业
nonpolitical                     无偏见
nonpolluting                     非处方药
nonporous                        非生产性的
nonpracticing                    非专业
nonprejudicial                   非营利
nonprescription                  不扩散
nonproductive                    非公开
nonprofessional                  不受惩罚
nonprofit                        非种族
nonproliferation                 非放射性
nonpublic                        非随机
nonpunishable                    不反应
nonracial                        非互惠的
nonradioactive                   非往复式
nonrandom                        不承认
nonreactive                      不可恢复
nonreciprocal                    非经常性
nonreciprocating                 不可赎回
nonrecognition                   不可再充装
nonrecoverable                   不退还
nonrecurring                     非宗教人士
nonredeemable                    不可再生
nonrefillable                    非代表性的
nonrefundable                    非居民
nonreligious                     非住宅
nonrenewable                     非残留
nonrepresentational              不抵抗
nonresident                      无抵抗力
nonresidential                   非限制性的
nonresidual                      不可退还
nonresistance                    无节律的
nonresistant                     非刚性
nonrestrictive                   无薪
nonreturnable                    非计划的
nonrhythmic                      非科学的
nonrigid                         不得分
nonsalaried                      非季节性的
nonscheduled                     无宗派
nonscientific                    非世俗的
nonscoring                       非隔离
nonseasonal                      废话
nonsectarian                     荒谬
nonsecular                       不敏感
nonsegregated                    非性别歧视者
nonsense                         无性
nonsensical                      防滑
nonsensitive                     防滑
nonsexist                        不吸烟者
nonsexual                        禁止吸烟
nonskid                          非社会性
nonslip                          不说话
nonsmoker                        非专业人士
nonsmoking                       非专业化
nonsocial                        非特异性
nonspeaking                      非精神的
nonspecialist                    无染色
nonspecializing                  非标准
nonspecific                      失败者
nonspiritual                     不粘
nonstaining                      马不停蹄
nonstandard                      非战略性的
nonstarter                       非引人注目的
nonstick                         非结构性的
nonstop                          非连续的
nonstrategic                     不支持
nonstriking                      非手术
nonstructural                    非维持性
nonsuccessive                    不同情者
nonsupport                       不易失去光泽
nonsurgical                      免税
nonsustaining                    非技术性
nonsympathizer                   非终身教授
nontarnishable                   非戏剧性的
nontaxable                       不思考
nontechnical                     非威胁性
nontenured                       无毒
nontheatrical                    非传统的
nonthinking                      不可转让
nonthreatening                   不透明
nontoxic                         不平凡
nontraditional                   非热带
nontransferable                  不均匀
nontransparent                   不工会
nontrivial                       非使用者
nontropical                      无毒
nonuniform                       非语言
nonunion                         不具生存能力
nonuser                          非暴力
nonvenomous                      非暴力
nonverbal                        无毒
nonviable                        非声乐
nonviolence                      非职业
nonviolent                       非挥发性
nonvirulent                      非选民
nonvocal                         列席
nonvocational                    非白人
nonvolatile                      非工作
nonvoter                         不屈服
nonvoting                        非零
nonwhite                         面条
nonworking                       角落
nonyielding                      诺基
nonzero                          淫荡
noodle                           中午
nook                             午
nookie                           正午
nooky                            中午
noon                             套索
noonday                          没有
noontide                         也不
noontime                         东北风暴
noose                            规范
nope                             普通的
nor                              常态
nor'easter                       常态
norm                             正常化
normal                           正常化
normalcy                         规范的
normality                        北
normalization                    北行
normalize                        东北
normative                        东北
north                            东北
northbound                       向东北
northeast                        北方人
northeaster                      北向
northeastern                     北方
northeastward                    北方人
norther                          最北端
northerly                        向北
northern                         西北
northerner                       西北
northernmost                     西北
northward                        西北方向
northwest                        鼻子
northwester                      鼻袋
northwestern                     鼻血
northwestward                    鼻锥
nose                             俯冲
nosebag                          花束
nosebleed                        小吃
nosecone                         诺舍尔
nosedive                         好管闲事地
nosegay                          爱管闲事
nosh                             怀旧
nosher                           怀旧
nosily                           怀旧地
nosiness                         鼻孔
nostalgia                        秘方
nostalgic                        多管闲事
nostalgically                    不是
nostril                          知名度
nostrum                          值得注意的
nosy                             尤其
not                              公证
notability                       公证
notable                          公证
notably                          公证人
notarial                         记录
notarization                     符号
notarize                         缺口
notary                           笔记
notate                           笔记
notation                         笔记本
notch                            便笺
note's                           记事本
note                             便条纸
notebook                         值得关注
notelet                          值得注意的
notepad                          没有什么
notepaper                        虚无
noteworthiness                   注意
noteworthy                       显
nothing                          明显地
nothingness                      布告栏
notice                           注意到
noticeable                       可通知的
noticeably                       通知
noticeboard                      通知者
noticed                          通知
notifiable                       概念
notification                     名义的
notifier                         恶名
notify                           臭名昭著
notion                           虽然
notional                         网络
notoriety                        牛轧糖
notorious                        名词
notwithstanding                  滋养
notwork                          营养
nougat                           理性
noun                             新星
nourish                          新星
nourishment                      小说
nous                             小说
nova                             小说家
novae                            小说化
novel                            小说化
novelette                        中篇小说
novelist                         新奇
novelization                     九日敬礼
novelize                         诺韦内
novella                          新手
novelty                          见习
novena                           现在
novene                           如今
novice                           决不
novitiate                        无处
now                              绝不
nowadays                         现在
noway                            有害的
nowhere                          喷嘴
nowise                           努
nowt                             细微差别
noxious                          小块
nozzle                           小块
nu                               有小疙瘩的
nuance                           青春期
nub                              核
nubbin                           成核
nubby                            成核
nubile                           核
nuclear                          核酸
nucleate                         核仁
nucleation                       核仁
nuclei                           核子
nucleic                          核苷
nucleoli                         核苷酸
nucleolus                        核
nucleon                          裸体
nucleoside                       轻推
nucleotide                       裸体主义
nucleus                          裸体主义者
nude                             裸露
nudge                            无效的
nudism                           金块
nudist                           滋扰
nudity                           核弹
nugatory                         无效的
nugget                           无效
nuisance                         使无效
nuke                             无效性
null                             麻木的
nullification                    号码
nullify                          数字
nullity                          编号
numb                             无数
number's                         麻木
number                           可数的
numbered                         算术
numberless                       数字
numbness                         数数
numerable                        计数
numeracy                         分子
numeral                          数字
numerate                         数值
numeration                       命理学家
numerator                        命理学
numeric                          很多的
numerical                        神圣的
numerologist                     钱币学
numerology                       钱币学
numerous                         钱币学家
numinous                         小脑袋
numismatic                       尼姑
numismatics                      教廷大使
numismatist                      尼姑庵
numskull                         婚礼
nun                              护士
nuncio                           哺乳期的婴儿
nunnery                          保姆
nuptial                          护士
nurse                            苗圃
nurselings                       苗圃工人
nursemaid                        苗圃工人
nurser                           护理
nursery                          哺乳期
nurseryman                       培育
nurserymen                       养育者
nursing                          坚果
nursling                         疯子
nurture                          胡桃夹子
nurturer                         五子雀
nut                              疯人院
nutcase                          坚果仁
nutcracker                       肉豆蔻
nuthatch                         挑剔
nuthouse                         海狸鼠
nutmeat                          养分
nutmeg                           营养素
nutpick                          营养
nutria                           营养的
nutrient                         营养师
nutriment                        营养丰富
nutrition                        营养
nutritional                      营养的
nutritionist                     简而言之
nutritious                       坚果
nutritiousness                   疯子
nutritive                        潇洒
nutshell                         坚果
nutted                           坚果味
nutter                           依偎
nuttiness                        鼻尖
nutting                          尼布尔
nutty                            尼龙
nuzzle                           尼龙
nuzzler                          若虫
nybble                           仙女
nylon                            淫荡者
nylons                           色情狂
nymph                            淫欲狂
nymphet                          若虫
nympho                           o
nymphomania                      点
nymphomaniac                     奥耶
nymphs                           笨蛋
o                                愚蠢的
o'clock                          愚笨
o'er                             橡木
oaf                              麻絮
oafish                           桨
oafishness                       桨架
oak                              桨手
oakum                            桨手
oar                              桨手
oarlock                          桨手
oarsman                          绿洲
oarsmen                          绿洲
oarswoman                        燕麦
oarswomen                        燕麦饼
oases                            誓言
oasis                            誓言
oat                              麦片
oatcake                          燕麦
oath                             奥布
oaths                            附庸风雅
oatmeal                          顽固
oats                             固执的
ob                               固执
obbligato                        服从
obduracy                         听话
obdurate                         敬拜
obdurateness                     顺从的
obedience                        方尖碑
obedient                         肥胖
obeisance                        肥胖
obeisant                         服从
obelisk                          混淆
obese                            混淆
obesity                          带
obey                             讣告
obfuscate                        讣告
obfuscation                      对象
obi                              目的
obit                             客观化
obituary                         异议
obj                              令人反感的
object                           令人反感地
objectify                        客观的
objection                        客观性
objectionable                    客观性
objectionably                    反对者
objective                        詈
objectiveness                    谴责
objectivity                      扁圆
objector                         祭祀
objurgate                        义务的
objurgation                      义务
oblate                           必须地
oblation                         义务的
obligate                         有义务
obligation                       乐于助人的
obligatorily                     斜
obligatory                       倾斜度
oblige                           倾斜度
obliging                         泯
oblique                          湮没
obliqueness                      遗忘
obliquity                        忘却的
obliterate                       遗忘
obliteration                     长方形
oblivion                         漫骂
oblivious                        令人讨厌
obliviousness                    令人讨厌
oblong                           双簧管
obloquy                          双簧管演奏家
obnoxious                        猥亵
obnoxiousness                    淫秽
oboe                             蒙昧主义
oboist                           蒙昧主义者
obscene                          朦胧
obscenity                        朦胧
obscurantism                     葬礼
obscurantist                     低三下四
obscure                          谄媚
obscurity                        葬礼
obsequies                        明显地
obsequious                       遵守
obsequiousness                   善于观察
obsequy                          观察
observably                       观察的
observance                       天文台
observant                        观察
observation                      观察到
observational                    观察者
observatory                      缠住
observe                          痴迷
observed                         强迫症
observer                         强迫性
obsess                           执着
obsession                        黑曜石
obsessional                      过时
obsessive                        过时
obsessiveness                    过时的
obsidian                         过时的
obsolesce                        障碍
obsolescence                     产科
obsolescent                      产科
obsolete                         产科医生
obstacle                         产科
obstetric                        固执
obstetrical                      顽固
obstetrician                     吵闹的
obstetrics                       吵闹
obstinacy                        阻碍
obstinate                        受阻
obstreperous                     梗阻
obstreperousness                 阻挠行为
obstruct                         阻挠者
obstructed                       阻碍
obstruction                      阻碍性
obstructionism                   获得
obstructionist                   可获得的
obstructive                      获得
obstructiveness                  突出
obtain                           突入
obtainable                       打扰
obtainment                       侵扰性
obtrude                          钝
obtrusion                        愚钝
obtrusive                        正面
obtrusiveness                    避免
obtuse                           避免
obtuseness                       明显的
obverse                          显而易见性
obviate                          陶笛
obviation                        场合
obvious                          偶然
obviousness                      西方的
ocarina                          遮挡
occasion                         遮挡
<p>occasional                    闭塞
occidental                       神秘的
occlude                          神秘主义
occlusion                        神秘主义者
occlusive                        占用
occult                           居住者
occultism                        职业
occultist                        职业
occupancy                        职业
occupant                         占领
occupation                       占用者
occupational                     占据
occupations                      发生
occupied                         發生
occupier                         发生
occupy                           发生
occur                            海洋
occurred                         海滨
occurrence                       远洋的
occurring                        海洋的
ocean                            海洋学家
oceanfront                       海洋学
oceangoing                       海洋学
oceanic                          海洋学
oceanographer                    豹猫
oceanographic                    奥赫
oceanography                     赭石
oceanology                       奥克
ocelot                           八角形
och                              八角形
ocher                            八进制
ocker                            辛烷
octagon                          八度
octagonal                        八度音程
octal                            八位字节
octane                           八十多岁
octave                           章鱼
octavo                           眼部
octet                            眼科医生
octogenarian                     眼球运动
octopus                          宫女
ocular                           奇怪的
oculist                          怪人
oculomotor                       怪异
odalisque                        零碎
odd                              奇异性
oddball                          赔率
oddity                           颂
oddment                          可憎的
oddness                          可憎性
odds                             憎恨
ode                              里程表
odious                           气味
odiousness                       有气味的
odium                            无臭
odometer                         有气味
odor                             奥德赛
odoriferous                      俄狄浦斯
odorless                         酿酒学
odorous                          葡萄酒爱好者
odyssey                          作品
oedipal                          的
oenology                         离开
oenophile                        内脏
oeuvre                           另类
of                               得罪
off                              罪犯
offal                            罪行
offbeat                          进攻的
offend                           进攻
offender                         冒犯性
offense                          攻势
offensive's                      提供
offensive                        奉献
offensiveness                    奉献
offensives                       即兴
offer                            随意的
offering                         随意
offertory                        办公室
offhand                          公职人员
offhanded                        官
offhandedness                    官方的
office                           官场
officeholder                     官僚主义
officer                          官本位主义
official                         司仪
officialdom                      主持
officialese                      主持者
officialism                      多管闲事
officiant                        多管闲事
officiate                        海上
officiator                       离鱼
officious                        离线
officiousness                    卸载
offing                           单行本
offish                           抵消
offline                          抵销
offload                          分支
offprint                         离岸
offset                           越位
offsetting                       场外
offshoot                         后代
offshore                         舞台之外
offside                          偏离轨道
offsite                          经常
offspring                        经常
offstage                         常常
offtrack                         常常
oft                              眄
often                            奥格勒
oftentimes                       食人魔
ofttimes                         食人魔
ogle                             食人女妖
ogler                            哦
ogre                             欧姆
ogreish                          欧姆表
ogress                           哦哦
oh                               哦
ohm                              哦
ohmmeter                         奥伊克
oho                              油
ohs                              油罐
oi                               油布
oik                              油布
oil                              油田
oilcan                           油腻
oilcloth                         石油商
oilcloths                        石油工人
oilfield                         油布
oiliness                         油布
oilman                           油腻的
oilmen                           哼哼
oilskin                          软膏
oilskins                         霍加狓
oily                             好的
oink                             秋葵
ointment                         老的
okapi                            老歌
okay                             有点老气
okra                             古老
old                              老人
oldie                            奥莱
oldish                           油质的
oldness                          夹竹桃
oldster                          油性
ole                              人造黄油
oleaginous                       嗅觉
oleander                         寡头
oleo                             寡头政治
oleomargarine                    寡头政治
olfactory                        寡头
oligarch                         寡头政治
oligarchic                       寡核苷酸
oligarchical                     寡头垄断
oligarchs                        橄榄
oligarchy                        奥姆
oligonucleotide                  监察员
oligopoly                        监察员
olive                            欧米茄
om                               煎蛋卷
ombudsman                        预兆
ombudsmen                        奥米克戎
omega                            不祥的
omelet                           不祥之兆
omen                             省略
omicron                          忽略
ominous                          省略
ominousness                      省略
omission                         综合
omit                             全能
omitted                          无所不能
omitting                         无处不在
omnibus                          无所不在
omnipotence                      无所不知
omnipotent                       无所不知
omnipresence                     杂食动物
omnipresent                      杂食性
omniscience                      杂食性
omniscient                       在
omnivore                         船上
omnivorous                       一次
omnivorousness                   致癌基因
on                               肿瘤科医生
onboard                          肿瘤学
once                             迎面而来
oncogene                         一
oncologist                       一元性
oncology                         繁重的
oncoming                         繁重
one                              自己
oneness                          一度
onerous                          正在进行
onerousness                      洋葱
oneself                          洋葱皮
onetime                          在线的
ongoing                          旁观者
onion                            旁观
onionskin                        拟声词
online                           拟声词
onlooker                         拟声词
onlooking                        猛攻
onomatopoeia                     屏幕上
onomatopoeic                     发病
onomatopoetic                    陆上
onrush                           在边上
onscreen                         现场
onset                            猛攻
onshore                          舞台上
onside                           到
onsite                           个体发育
onslaught                        本体论的
onstage                          本体
onto                             责任
ontogeny                         向前
ontological                      缟玛瑙
ontology                         面条
onus                             噢
onward                           哦
onyx                             魅力
oodles                           哎呀
ooh                              软泥
oohs                             粘稠的
oomph                            操作
oops                             不透明度
ooze                             蛋白石
oozy                             乳光
op                               乳白色
opacity                          不透明
opal                             不透明度
opalescence                      操作码
opalescent                       开普
opaque                           打开
opaqueness                       露天开采
opcode                           打开
ope                              开场白
open                             慷慨的
opencast                         慷慨
opened                           开朗的
opener                           开幕
openhanded                       开放性
openhandedness                   透雕
openhearted                      歌剧
opening                          可操作
openness                         操作数
openwork                         操作
opera                            歌剧式的
operable                         歌剧般地
operand                          手术
operate                          操作
operatic                         操作人员
operatically                     操作员
operation                        轻歌剧
operational                      眼科
operative                        眼科医生
operator                         眼科
operetta                         鸦片
ophthalmic                       表示意见
ophthalmologist                  观点
ophthalmology                    自以为是
opiate                           阿片类药物
opine                            鸦片
opinion                          负鼠
opinionated                      对手
opioid                           对手
opium                            适时
opossum                          机会主义
opp                              机会主义者
opponent                         机会主义
opportune                        投机取巧地
opportunism                      机会
opportunist                      反对
opportunistic                    反对
opportunistically                对面的
opportunity                      反对
oppose                           压迫
opposed                          压迫
opposite                         压迫性的
opposition                       压迫性
oppress                          压迫者
oppression                       可耻
oppressive                       耻辱
oppressiveness                   选择
oppressor                        光学
opprobrious                      光学的
opprobrium                       配镜师
opt                              光学
optic                            最佳
optical                          最佳的
optician                         乐观
optics                           乐天派
optima                           乐观的
optimal                          乐观地
optimism                         优化
optimist                         优化
optimistic                       最佳
optimistically                   选项
optimization                     选修的
optimize                         验光师
optimum                          验光
option                           丰裕
optional                         华丽的
optometrist                      作品
optometry                        或者
opulence                         神谕
opulent                          神谕的
opus                             口服
or                               口语
oracle                           橙子
oracular                         橘子水
oral                             橘园
orality                          猩猩
orange                           演说
orangeade                        致辞
orangery                         演说者
orangutan                        演说的
orate                            清唱剧
oration                          演说
orator                           球体
oratorical                       圆形的
oratorio                         轨道
oratory                          轨道
orb                              轨道器
orbicular                        兽人
orbit                            果园
orbital                          乐队
orbiter                          管弦乐队
orc                              精心策划
orchard                          编排
orchestra                        兰花
orchestral                       任命
orchestrate                      授命
orchestration                    考验
orchid                           命令
ordain                           有序
ordainment                       顺序
ordeal                           有序性
order                            秩序
ordered                          序数
orderings                        条例
orderliness                      按说
orderly                          平凡
ordinal                          普通的
ordinance                        纵坐标
ordinarily                       授任
ordinariness                     军械
ordinary                         粪
ordinate                         矿石
ordination                       牛至
ordnance                         组织
ordure                           器官
ore                              欧根纱
oregano                          细胞器
org                              有机的
organ                            有机地
organdy                          生物
organelle                        有机体
organic                          管风琴演奏家
organically                      组织
organism                         组织
organismic                       组织
organist                         有組織
organization                     组织者
organizational                   欧根纱
organize                         性高潮
organized                        性高潮
organizer                        狂欢的
organza                          群交
orgasm                           凸窗
orgasmic                         东方的
orgiastic                        东方
orgy                             东方
oriel                            东方学家
orient's                         定向
orient                           方向
oriental                         方向
orientalist                      定向越野
orientate                        孔
orientation                      原件
orientations                     折纸
orienteering                     起源
orifice                          原来的
orig                             独创性
origami                          起源
origin                           起源
original                         鼻祖
originality                      金莺
originate                        祈祷
origination                      镀金铜质材料
originator                       装饰品
oriole                           装饰
orison                           装饰
ormolu                           华丽的
ornament                         华丽
ornamental                       暴躁
ornamentation                    脾气暴躁
ornate                           鸟类学的
ornateness                       鸟类学家
orneriness                       鸟类学
ornery                           奥罗顿
ornithological                   口音
ornithologist                    孤儿
ornithology                      孤儿院
orotund                          鸢尾
orotundity                       牙齿矫正
orphan                           正畸
orphanage                        正畸
orris                            牙齿矫正师
orthodontia                      正统
orthodontic                      正统
orthodontics                     正交
orthodontist                     正交性
orthodox                         正字法
orthodoxy                        正字法上
orthogonal                       正字法
orthogonality                    骨科
orthographic                     骨科
orthographically                 骨科医生
orthography                      意大利面
orthopedic                       摆动
orthopedics                      振荡
orthopedist                      振荡器
orzo                             振荡的
oscillate                        示波器
oscillation                      接触
oscillator                       接触
oscillatory                      柳条
oscilloscope                     锇
osculate                         渗透
osculation                       渗透的
osier                            鱼鹰
osmium                           听小骨
osmosis                          骨化
osmotic                          骨化
osprey                           表面上的
ossicles                         表面上
ossification                     炫耀
ossify                           炫耀的
ostensible                       骨关节炎
ostensibly                       整骨疗法
ostentation                      整骨疗法
ostentatious                     整骨疗法医生
osteoarthritis                   整骨疗法
osteopath                        骨质疏松症
osteopathic                      奥斯特勒
osteopaths                       排斥
osteopathy                       放逐
osteoporosis                     鸵鸟
ostler                           其他
ostracism                        否则
ostracize                        超凡脱俗
ostrich                          闲置的
other                            獭
otherwise                        脚凳
otherworldly                     地牢
otiose                           哎哟
otter                            應該
ottoman                          不应该
oubliette                        盎司
ouch                             我们的
ought                            我们自己
oughtn't                         驱逐
ounce                            驱逐
our                              出去
ourselves                        停电
oust                             驳倒
ouster                           内陆地区
out                              失去平衡
outage                           出价高于
outargue                         出价高于
outback                          舷外
outbalance                       吹嘘
